time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
1656470944.26998496,0.00082302,0.00000252,-nan,623.00000000,0.00082302,0.000000,0.000000
1656470944.30315804,0.00122629,0.00000075,-nan,623.00000000,0.00162957,0.000000,0.000000
1656470944.33633113,0.00123242,0.00000070,-nan,623.00000000,0.00124468,0.000000,0.000000
1656470944.36950302,0.00113073,0.00000055,-nan,623.00000000,0.00082567,0.000000,0.000000
1656470944.40267611,0.00110202,0.00000055,-nan,623.00000000,0.00098718,0.000000,0.000000
1656470944.43584800,0.00112306,0.00000103,-nan,623.00000000,0.00122827,0.000000,0.000000
1656470944.46902108,0.00111237,0.00000085,-nan,623.00000000,0.00104824,0.000000,0.000000
1656470944.50219297,0.00119600,0.00000068,-nan,623.00000000,0.00178139,0.000000,0.000000
1656470944.53536606,0.00116565,0.00000053,-nan,623.00000000,0.00092286,0.000000,0.000000
1656470944.56853795,0.00114932,0.00000051,-nan,623.00000000,0.00100236,0.000000,0.000000
1656470944.60171103,0.00115452,0.00000118,-nan,623.00000000,0.00120646,0.000000,0.000000
1656470944.63488293,0.00111371,0.00000067,-nan,623.00000000,0.00066485,0.000000,0.000000
1656470944.66805601,0.00108058,0.00000056,-nan,623.00000000,0.00068300,0.000000,0.000000
1656470944.70122814,0.00107471,0.00000074,-nan,623.00000000,0.00099845,0.000000,0.000000
1656470944.73440099,0.00108122,0.00000075,-nan,623.00000000,0.00117237,0.000000,0.000000
1656470944.76757312,0.00107898,0.00000058,-nan,623.00000000,0.00104540,0.000000,0.000000
1656470944.80074596,0.00106329,0.00000088,-nan,623.00000000,0.00081210,0.000000,0.000000
1656470944.83391809,0.00106621,0.00000092,-nan,623.00000000,0.00111588,0.000000,0.000000
1656470944.86709094,0.00105142,0.00000050,-nan,623.00000000,0.00078525,0.000000,0.000000
1656470944.90026307,0.00104366,0.00000075,-nan,623.00000000,0.00089616,0.000000,0.000000
1656470944.93343592,0.00105523,0.00000079,-nan,623.00000000,0.00128657,0.000000,0.000000
1656470944.96660900,0.00105421,0.00000049,-nan,623.00000000,0.00103294,0.000000,0.000000
1656470944.99978113,0.00106123,0.00000062,-nan,623.00000000,0.00121566,0.000000,0.000000
1656470945.03295398,0.00106118,0.00000037,-nan,623.00000000,0.00105991,0.000000,0.000000
1656470945.06612611,0.00107267,0.00000058,-nan,623.00000000,0.00134860,0.000000,0.000000
1656470945.09929895,0.00106317,0.00000101,-nan,623.00000000,0.00082554,0.000000,0.000000
1656470945.13247108,0.00105593,0.00000069,-nan,623.00000000,0.00086785,0.000000,0.000000
1656470945.16564393,0.00105881,0.00000052,-nan,623.00000000,0.00113633,0.000000,0.000000
1656470945.19881606,0.00105067,0.00000075,-nan,623.00000000,0.00082284,0.000000,0.000000
1656470945.23198891,0.00104229,0.00000098,-nan,623.00000000,0.00079944,0.000000,0.000000
1656470945.26516104,0.00104161,0.00000069,-nan,623.00000000,0.00102123,0.000000,0.000000
1656470945.29833412,0.00106317,0.00000062,-nan,623.00000000,0.00173135,0.000000,0.000000
1656470945.33150601,0.00105821,0.00000062,-nan,623.00000000,0.00089958,0.000000,0.000000
1656470945.36467910,0.00106447,0.00000065,-nan,623.00000000,0.00127099,0.000000,0.000000
1656470945.39785099,0.00107144,0.00000060,-nan,623.00000000,0.00130838,0.000000,0.000000
1656470945.43102407,0.00106257,0.00000049,-nan,623.00000000,0.00075208,0.000000,0.000000
1656470945.46419597,0.00106705,0.00000080,-nan,623.00000000,0.00122838,0.000000,0.000000
1656470945.49736905,0.00106485,0.00000081,-nan,623.00000000,0.00098367,0.000000,0.000000
1656470945.53054094,0.00107804,0.00000070,-nan,623.00000000,0.00157897,0.000000,0.000000
1656470945.56371403,0.00107514,0.00000057,-nan,623.00000000,0.00096230,0.000000,0.000000
1656470945.59688711,0.00107483,0.00000038,-nan,623.00000000,0.00106235,0.000000,0.000000
1656470945.63005900,0.00108030,0.00000062,-nan,623.00000000,0.00130434,0.000000,0.000000
1656470945.66323209,0.00108126,0.00000063,-nan,623.00000000,0.00112180,0.000000,0.000000
1656470945.69640398,0.00107731,0.00000126,-nan,623.00000000,0.00090720,0.000000,0.000000
1656470945.72957706,0.00108094,0.00000077,-nan,623.00000000,0.00124086,0.000000,0.000000
1656470945.76274896,0.00107844,0.00000064,-nan,623.00000000,0.00096591,0.000000,0.000000
1656470945.79592204,0.00107608,0.00000063,-nan,623.00000000,0.00096749,0.000000,0.000000
1656470945.82909393,0.00107906,0.00000109,-nan,623.00000000,0.00121937,0.000000,0.000000
1656470945.86226702,0.00116869,0.00000071,-nan,623.00000000,0.00547098,0.000000,0.000000
1656470945.89543891,0.00117721,0.00000098,-nan,623.00000000,0.00159422,0.000000,0.000000
1656470945.92861199,0.00117764,0.00000057,-nan,623.00000000,0.00119948,0.000000,0.000000
1656470945.96178412,0.00117936,0.00000056,-nan,623.00000000,0.00126719,0.000000,0.000000
1656470945.99495697,0.00118770,0.00000058,-nan,623.00000000,0.00162134,0.000000,0.000000
1656470946.02812910,0.00118013,0.00000069,-nan,623.00000000,0.00077860,0.000000,0.000000
1656470946.06130195,0.00117307,0.00000084,-nan,623.00000000,0.00079192,0.000000,0.000000
1656470946.09447408,0.00116948,0.00000071,-nan,623.00000000,0.00097199,0.000000,0.000000
1656470946.12764692,0.00116595,0.00000065,-nan,623.00000000,0.00096834,0.000000,0.000000
1656470946.16081905,0.00116133,0.00000051,-nan,623.00000000,0.00089772,0.000000,0.000000
1656470946.19399214,0.00116197,0.00000055,-nan,623.00000000,0.00119943,0.000000,0.000000
1656470946.22716498,0.00116311,0.00000066,-nan,623.00000000,0.00123035,0.000000,0.000000
1656470946.26033711,0.00115770,0.00000049,-nan,623.00000000,0.00083288,0.000000,0.000000
1656470946.29350996,0.00115261,0.00000050,-nan,623.00000000,0.00084212,0.000000,0.000000
1656470946.32668209,0.00115050,0.00000051,-nan,623.00000000,0.00101969,0.000000,0.000000
1656470946.35985494,0.00115492,0.00000071,-nan,623.00000000,0.00143340,0.000000,0.000000
1656470946.39302707,0.00115370,0.00000071,-nan,623.00000000,0.00107607,0.000000,0.000000
1656470946.42619991,0.00114898,0.00000062,-nan,623.00000000,0.00084203,0.000000,0.000000
1656470946.45937204,0.00115145,0.00000085,-nan,623.00000000,0.00131422,0.000000,0.000000
1656470946.49254513,0.00114579,0.00000047,-nan,623.00000000,0.00076663,0.000000,0.000000
1656470946.52571702,0.00114648,0.00000069,-nan,623.00000000,0.00119368,0.000000,0.000000
1656470946.55889010,0.00114798,0.00000075,-nan,623.00000000,0.00125156,0.000000,0.000000
1656470946.59206200,0.00114073,0.00000054,-nan,623.00000000,0.00063289,0.000000,0.000000
1656470946.62523508,0.00113635,0.00000054,-nan,623.00000000,0.00082537,0.000000,0.000000
1656470946.65840697,0.00113639,0.00000046,-nan,623.00000000,0.00113949,0.000000,0.000000
1656470946.69158006,0.00114213,0.00000068,-nan,623.00000000,0.00156065,0.000000,0.000000
1656470946.72475195,0.00114015,0.00000051,-nan,623.00000000,0.00099374,0.000000,0.000000
1656470946.75792503,0.00114035,0.00000060,-nan,623.00000000,0.00115575,0.000000,0.000000
1656470946.79109812,0.00114164,0.00000056,-nan,623.00000000,0.00123954,0.000000,0.000000
1656470946.82427001,0.00114550,0.00000084,-nan,623.00000000,0.00144301,0.000000,0.000000
1656470946.85744309,0.00113972,0.00000074,-nan,623.00000000,0.00068833,0.000000,0.000000
1656470946.89061499,0.00113471,0.00000066,-nan,623.00000000,0.00073935,0.000000,0.000000
1656470946.92378807,0.00113219,0.00000049,-nan,623.00000000,0.00093018,0.000000,0.000000
1656470946.95695996,0.00113441,0.00000061,-nan,623.00000000,0.00131455,0.000000,0.000000
1656470946.99013305,0.00113261,0.00000053,-nan,623.00000000,0.00098500,0.000000,0.000000
1656470947.02330494,0.00113252,0.00000074,-nan,623.00000000,0.00112450,0.000000,0.000000
1656470947.05647802,0.00113001,0.00000052,-nan,623.00000000,0.00091927,0.000000,0.000000
1656470947.08964992,0.00112744,0.00000050,-nan,623.00000000,0.00090891,0.000000,0.000000
1656470947.12282300,0.00112803,0.00000073,-nan,623.00000000,0.00117929,0.000000,0.000000
1656470947.15599513,0.00112989,0.00000074,-nan,623.00000000,0.00129191,0.000000,0.000000
1656470947.18916798,0.00112692,0.00000064,-nan,623.00000000,0.00086565,0.000000,0.000000
1656470947.22234011,0.00112724,0.00000077,-nan,623.00000000,0.00115488,0.000000,0.000000
1656470947.25551295,0.00112640,0.00000064,-nan,623.00000000,0.00105139,0.000000,0.000000
1656470947.28868508,0.00115508,0.00000165,-nan,623.00000000,0.00376479,0.000000,0.000000
1656470947.32185793,0.00115059,0.00000059,-nan,623.00000000,0.00073708,0.000000,0.000000
1656470947.35503006,0.00115099,0.00000053,-nan,623.00000000,0.00118894,0.000000,0.000000
1656470947.38820291,0.00115401,0.00000101,-nan,623.00000000,0.00143726,0.000000,0.000000
1656470947.42137599,0.00115137,0.00000055,-nan,623.00000000,0.00090042,0.000000,0.000000
